dataset_id,version,title,status,path,format,rows,columns,grain,synthetic,generator_path,seed,source_url,licence,checksum,chapters,notebooks,exercises,figures,data_dictionary_path,limitations
nrg-ch01-sample,1.0.0,"Chapter 1 reader sample: Quantities, Units, and Measurement",released,data/generated/ch01_sample.csv,CSV,5,4,One synthetic noodle pack measurement per row,yes,scripts/data/generate_ch01_sample.py,not applicable; fixed values reproduce the chapter example,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:2a46f9ecc3edacc4525ce6ddb90ca84e9c5cbeed5124d40fd0f2c9fd1eb2b8b2,1,notebooks/part_01_mathematics/ch01_quantities_units_measurement.ipynb,exercises/**/ch01_*.md,fig-01-01;fig-01-02,data/dictionaries/ch01_data_dictionary.csv,Five illustrative synthetic measurements; unsuitable for process-capability or inferential claims
nrg-ch02-sample,1.0.0,"Chapter 2 reader sample: Fractions, Ratios, Rates, and Percentages",released,data/generated/ch02_sample.csv,CSV,5,7,One synthetic Chapter 2 business example per row,yes,scripts/data/generate_ch02_sample.py,not applicable; fixed values reproduce the chapter examples,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:5e57fb7f47799e0d472f587e0561c67dcb0c7f100dcf64623b74763735e8234e,2,notebooks/part_01_mathematics/ch02_fractions_ratios_rates_percentages.ipynb,exercises/**/ch02_*.md,fig-02-01;fig-02-02,data/dictionaries/ch02_data_dictionary.csv,Five illustrative synthetic examples; unsuitable for operational performance inference
nrg-ch03-sample,1.0.0,Chapter 3 reader sample: Variables and Equations,released,data/generated/ch03_sample.csv,CSV,6,6,One cartons-per-pallet input and its calculated shipment outcome per row,yes,scripts/data/generate_ch03_sample.py,not applicable; deterministic equation inputs,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:b2d83dea6a4a6e5bcdda74e7d0d89cbf96c51e5e5f7b96ffe0ac3413001acec4,3,notebooks/part_01_mathematics/ch03_variables_equations.ipynb,exercises/**/ch03_*.md,fig-03-01;fig-03-02,data/dictionaries/ch03_data_dictionary.csv,Six deterministic teaching points; not observed production data
nrg-ch04-sample,1.0.0,"Chapter 4 reader sample: Functions, Coordinates, and Graphs",released,data/generated/ch04_sample.csv,CSV,7,8,One shipment quantity with calculated costs for two freight functions per row,yes,scripts/data/generate_ch04_sample.py,not applicable; deterministic function inputs,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:bf32109bb10a48725a65c3ec4ed63da42d408826fc30e133189613c5e4fbc33e,4,notebooks/part_01_mathematics/ch04_functions_coordinates_graphs.ipynb,exercises/**/ch04_*.md,fig-04-01;fig-04-02,data/dictionaries/ch04_data_dictionary.csv,Seven deterministic teaching points; excludes operational constraints and observed costs
nrg-ch05-sample,1.0.0,"Chapter 5 reader sample: Powers, Roots, Exponentials, and Logarithms",released,data/generated/ch05_sample.csv,CSV,11,8,One planning year with deterministic linear growth compound growth logarithm recovery and inventory retention per row,yes,scripts/data/generate_ch05_sample.py,not applicable; deterministic formulas reproduce the chapter examples,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:277d245719053e7a569fe80b23bb2d02aeaffd1869a58c1577b270276d422c90,5,notebooks/part_01_mathematics/ch05_powers_roots_exponentials_logarithms.ipynb,exercises/**/ch05_*.md,fig-05-01;fig-05-02,data/dictionaries/ch05_data_dictionary.csv,Simplified deterministic scenarios; not observed demand and unsuitable for forecasting or inventory decisions
nrg-ch06-sample,1.0.0,Chapter 6 reader sample: Summation and Mathematical Notation,released,data/generated/ch06_sample.csv,CSV,17,8,One indexed term in a deterministic summation example per row,yes,scripts/data/generate_ch06_sample.py,not applicable; fixed values reproduce the chapter examples,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:1517a46c6f0ef6eadaaaed6f4976507011ec6b044454cba7c7b6dd41f33c4be6,6,notebooks/part_01_mathematics/ch06_summation_mathematical_notation.ipynb,exercises/**/ch06_*.md,fig-06-01;fig-06-02,data/dictionaries/ch06_data_dictionary.csv,Four small deterministic examples stored in one normalized table; units depend on example_id and data are unsuitable for operational inference
nrg-ch07-sample,1.0.0,"Chapter 7 reader sample: Vectors, Distance, and Similarity",released,data/generated/ch07_sample.csv,CSV,5,9,One labelled vector component within a deterministic teaching example per row,yes,scripts/data/generate_ch07_sample.py,not applicable; fixed values reproduce the chapter examples,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:7fbbbb81c1949a5d658f4e1ba5f027c96ffd3f968166041be99c0e75cbcb8ea9,7,,exercises/**/ch07_*.md,fig-07-01;fig-07-02,data/dictionaries/ch07_data_dictionary.csv,Five deterministic component rows; examples use different units and are unsuitable for operational similarity or neighbour decisions
nrg-ch08-sample,1.0.0,Chapter 8 reader sample: Matrices and Systems of Equations,released,data/generated/ch08_sample.csv,CSV,2,11,One resource constraint and verified row dot product per row,yes,scripts/data/generate_ch08_sample.py,not applicable; fixed coefficients and solution reproduce the chapter example,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:48487f0feb55c2579c6ac7546455b2ec4fa660a37e6e382ffa14e3336a4c68e0,8,notebooks/part_01_mathematics/ch08_matrices_systems_equations.ipynb,exercises/**/ch08_*.md,fig-08-01;fig-08-02,data/dictionaries/ch08_data_dictionary.csv,Two deterministic resource constraints; assumes continuous feasible batches and full resource use and is unsuitable for production planning
nrg-ch09-sample,1.0.0,"Chapter 9 reader sample: Change, Slopes, and Derivatives",released,data/generated/ch09_sample.csv,CSV,21,9,One input point with exact numerical tangent and secant values per row,yes,scripts/data/generate_ch09_sample.py,not applicable; deterministic formulas reproduce the square-function examples,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:32218a450a593ba3b812c7c4eb4e13cdd164b7aa88cad8f6aefa062bda00baf4,9,notebooks/part_01_mathematics/ch09_change_slopes_derivatives.ipynb,exercises/**/ch09_*.md,fig-09-01;fig-09-02,data/dictionaries/ch09_data_dictionary.csv,Deterministic smooth-function grid; finite-difference behaviour does not represent noisy or irregular operational measurements
nrg-ch10-sample,1.0.0,Chapter 10 reader sample: Accumulation and Integration,released,data/generated/ch10_sample.csv,CSV,12,13,One half-hour net-flow interval with endpoint rates and accumulated estimates per row,yes,scripts/data/generate_ch10_sample.py,not applicable; deterministic formulas reproduce the chapter inventory-flow example,,See CONTENT_LICENSE.md; permitted with companion code for learning and experimentation,sha256:2e49123bc1811da4f8786678c87c5199684ed94d61543ff533173e5e934c228b,10,notebooks/part_01_mathematics/ch10_accumulation_integration.ipynb,exercises/**/ch10_*.md,fig-10-01;fig-10-02,data/dictionaries/ch10_data_dictionary.csv,Deterministic linear rate sampled every half hour; trapezoidal exactness here does not generalise to curved noisy or irregular operational measurements
