figure_id,chapter,chapter_title,working_title,purpose,type,source_path,dataset_ids,ebook_path,caption,alt_text,status
fig-01-01,1,"Quantities, Units, and Measurement","Quantity, unit, and measurement chain","Quantity, unit, and measurement chain",annotated diagram,publication/figures/source/fig-01-01.py,nrg-ch01-sample,publication/figures/ebook/fig-01-01.png,Figure 1.1. A measurement connects a real property to a numerical value and unit. Removing the unit removes part of the meaning.,"Flow diagram from the mass of one pack to a scale reading, the number 84.9, and the unit grams. A note states that 84.9 grams is a quantity value while 84.9 alone is incomplete.",generated
fig-01-02,1,"Quantities, Units, and Measurement",Measurement precision and rounding,Measurement precision and rounding,comparison chart,publication/figures/source/fig-01-02.py,nrg-ch01-sample,publication/figures/ebook/fig-01-02.png,"Figure 1.2. Five pack measurements vary around the 85.0 g label value, while their mean equals 85.0 g. Variation does not by itself show that the label or a reading is wrong.","Line and point chart for five packs with measured masses 84.7, 85.1, 84.9, 85.0, and 85.3 grams. Dashed and dotted horizontal lines both mark 85.0 grams for the label and sample mean.",generated
fig-02-01,2,"Fractions, Ratios, Rates, and Percentages","Fractions, ratios, rates, and percentages from one NRG order","Fractions, ratios, rates, and percentages from one NRG order",annotated diagram,publication/figures/source/fig-02-01.py,nrg-ch02-sample,publication/figures/ebook/fig-02-01.png,"Figure 2.1. The fraction 150/200, simplified fraction 3/4, decimal 0.75, and percentage 75% express the same part-to-whole relationship.","Four connected boxes show 150 over 200, 3 over 4, 0.75, and 75 percent. A note explains that 150 selected cartons out of 200 total cartons can be represented in each form.",generated
fig-02-02,2,"Fractions, Ratios, Rates, and Percentages",Absolute versus relative change,Absolute versus relative change,bar chart,publication/figures/source/fig-02-02.py,nrg-ch02-sample,publication/figures/ebook/fig-02-02.png,"Figure 2.2. Line B produces more acceptable packs in total, but Line A has the higher acceptance rate. Absolute and relative comparisons answer different operational questions.","Two paired bar charts compare production lines. The absolute chart shows 960 acceptable packs for Line A and 1,425 for Line B. The relative chart shows acceptance rates of 96 percent for Line A and 95 percent for Line B.",generated
fig-03-01,3,Variables and Equations,Unknown quantities represented by an equation,Unknown quantities represented by an equation,balance diagram,publication/figures/source/fig-03-01.py,nrg-ch03-sample,publication/figures/ebook/fig-03-01.png,"Figure 3.1. Solving 18x + 120 = 1,200 preserves equality by subtracting 120 from both sides and then dividing both sides by 18. The solution is 60 cartons per pallet.","Three-row balance diagram. The first row shows 18x plus 120 equals 1,200. After subtracting 120 from both sides, the second row shows 18x equals 1,080. After dividing both sides by 18, the final row shows x equals 60 cartons.",generated
fig-03-02,3,Variables and Equations,One equation under changing inputs,One equation under changing inputs,coordinate plot,publication/figures/source/fig-03-02.py,nrg-ch03-sample,publication/figures/ebook/fig-03-02.png,"Figure 3.2. The equation 18x + 120 maps each cartons-per-pallet input to a shipment total. It reaches the required 1,200 cartons when x equals 60.","Line chart of cartons per pallet against total shipment cartons. The rising line for 18x plus 120 intersects the horizontal 1,200-carton target at x equals 60.",generated
fig-04-01,4,"Functions, Coordinates, and Graphs",Input-output mapping and linear cost function,Input-output mapping and linear cost function,coordinate plot,publication/figures/source/fig-04-01.py,nrg-ch04-sample,publication/figures/ebook/fig-04-01.png,"Figure 4.1. The freight function C(q) = 300,000 + 4,000q maps each shipment quantity to one cost. The intercept is IDR 300,000, and an input of 100 cases produces an output of IDR 700,000.","Coordinate plot of shipment quantity against freight cost for C of q equals 300,000 plus 4,000q. The straight line begins at IDR 300,000 when quantity is zero and includes the point 100 cases, IDR 700,000.",generated
fig-04-02,4,"Functions, Coordinates, and Graphs",Slope and intercept changes,Slope and intercept changes,comparison plot,publication/figures/source/fig-04-02.py,nrg-ch04-sample,publication/figures/ebook/fig-04-02.png,"Figure 4.2. Plan A starts with a higher fixed charge but rises by IDR 4,000 per case. Plan B starts lower but rises by IDR 6,000 per case. They break even at 60 cases and IDR 540,000.","Two freight-cost lines cross at 60 cases and IDR 540,000. Plan A begins at IDR 300,000 and has the shallower slope. Plan B begins at IDR 180,000 and has the steeper slope.",generated
fig-05-01,5,"Powers, Roots, Exponentials, and Logarithms",Linear versus exponential growth,Compare additive and compound demand paths,line chart,publication/figures/source/fig-05-01.py,nrg-ch05-sample,publication/figures/ebook/fig-05-01.png,"Figure 5.1. Linear demand adds 800 cases each year, while exponential demand grows by 8% on a changing base. Both reach 10,800 cases after one year but follow increasingly different paths.","Line chart for years zero to ten. Linear demand rises from 10,000 to 18,000 cases in equal steps. Exponential demand also reaches 10,800 after year one, then curves upward to about 21,589 cases by year ten.",generated
fig-05-02,5,"Powers, Roots, Exponentials, and Logarithms",Roots and logarithms as inverse operations,Show how roots and logarithms reverse power operations,annotated diagram,publication/figures/source/fig-05-02.py,nrg-ch05-sample,publication/figures/ebook/fig-05-02.png,"Figure 5.2. A logarithm recovers the exponent in 10 cubed equals 1,000, while a square root recovers the principal non-negative root in 7 squared equals 49.","Two paired inverse-operation diagrams. The upper pair connects exponent 3 and value 1,000 through a base-10 power and logarithm. The lower pair connects root 7 and value 49 through squaring and the principal square root.",generated
