message_id,conversation_id,message_timestamp_utc,language,channel,redaction_status,route_label,split,message_text,predicted_route,confidence,review_required,correct_prediction
M44-001,C44-001,2026-01-05T08:00:00Z,id,email,synthetic_no_personal_data,service,train,pengiriman terlambat dan belum tiba di gudang kami,service,0.747920,0,1
M44-002,C44-001,2026-01-05T09:00:00Z,id,email,synthetic_no_personal_data,service,train,mohon lacak kiriman dan konfirmasi waktu kedatangan,service,0.719467,0,1
M44-003,C44-002,2026-01-06T02:00:00Z,id,portal,synthetic_no_personal_data,quality,train,karton tiba dalam kondisi rusak dan segelnya terbuka,quality,0.723092,0,1
M44-004,C44-002,2026-01-06T03:00:00Z,id,portal,synthetic_no_personal_data,quality,train,produk berbau tidak biasa dan perlu pemeriksaan mutu,quality,0.734702,0,1
M44-005,C44-003,2026-01-06T20:00:00Z,id,chat,synthetic_no_personal_data,finance,train,jumlah faktur tidak sesuai dengan pesanan pembelian,finance,0.714642,0,1
M44-006,C44-003,2026-01-06T21:00:00Z,id,chat,synthetic_no_personal_data,finance,train,mohon kirim salinan nota kredit yang belum diterima,finance,0.708556,0,1
M44-007,C44-004,2026-01-07T14:00:00Z,id,email,synthetic_no_personal_data,sales,train,mohon kirim harga untuk katalog kopi terbaru,sales,0.741976,0,1
M44-008,C44-004,2026-01-07T15:00:00Z,id,email,synthetic_no_personal_data,sales,train,kami ingin memesan rangkaian produk musiman,sales,0.737168,0,1
M44-009,C44-005,2026-01-08T08:00:00Z,en,portal,synthetic_no_personal_data,service,train,delivery is late and has not reached our warehouse,service,0.751726,0,1
M44-010,C44-005,2026-01-08T09:00:00Z,en,portal,synthetic_no_personal_data,service,train,please trace the delayed shipment and confirm arrival,service,0.723146,0,1
M44-011,C44-006,2026-01-09T02:00:00Z,en,chat,synthetic_no_personal_data,quality,train,cartons arrived damaged and several seals are broken,quality,0.727860,0,1
M44-012,C44-006,2026-01-09T03:00:00Z,en,chat,synthetic_no_personal_data,quality,train,the product smells unusual and needs quality review,quality,0.733023,0,1
M44-013,C44-007,2026-01-09T20:00:00Z,en,email,synthetic_no_personal_data,finance,train,the invoice total does not match our purchase order,finance,0.710477,0,1
M44-014,C44-007,2026-01-09T21:00:00Z,en,email,synthetic_no_personal_data,finance,train,please send a copy of the outstanding credit note,finance,0.739210,0,1
M44-015,C44-008,2026-01-10T14:00:00Z,en,portal,synthetic_no_personal_data,sales,train,please quote prices for the new coffee catalogue,sales,0.725649,0,1
M44-016,C44-008,2026-01-10T15:00:00Z,en,portal,synthetic_no_personal_data,sales,train,we want to place an order for the seasonal range,sales,0.741774,0,1
M44-017,C44-009,2026-01-11T08:00:00Z,id,chat,synthetic_no_personal_data,service,train,mohon lacak kiriman dan konfirmasi waktu kedatangan,service,0.719467,0,1
M44-018,C44-009,2026-01-11T09:00:00Z,id,chat,synthetic_no_personal_data,service,train,pesanan belum diterima setelah tanggal yang dijanjikan,service,0.724206,0,1
M44-019,C44-010,2026-01-12T02:00:00Z,id,email,synthetic_no_personal_data,quality,train,produk berbau tidak biasa dan perlu pemeriksaan mutu,quality,0.734702,0,1
M44-020,C44-010,2026-01-12T03:00:00Z,id,email,synthetic_no_personal_data,quality,train,mohon periksa kemasan bocor pada batch ini,quality,0.745734,0,1
M44-021,C44-011,2026-01-12T20:00:00Z,id,portal,synthetic_no_personal_data,finance,train,mohon kirim salinan nota kredit yang belum diterima,finance,0.708556,0,1
M44-022,C44-011,2026-01-12T21:00:00Z,id,portal,synthetic_no_personal_data,finance,train,pembayaran kami dicatat pada faktur yang salah,finance,0.746734,0,1
M44-023,C44-012,2026-01-13T14:00:00Z,id,chat,synthetic_no_personal_data,sales,train,kami ingin memesan rangkaian produk musiman,sales,0.737168,0,1
M44-024,C44-012,2026-01-13T15:00:00Z,id,chat,synthetic_no_personal_data,sales,train,kirim ketersediaan produk dan jumlah pesanan minimum,sales,0.744803,0,1
M44-025,C44-013,2026-01-14T08:00:00Z,en,email,synthetic_no_personal_data,service,train,please trace the delayed shipment and confirm arrival,service,0.723146,0,1
M44-026,C44-013,2026-01-14T09:00:00Z,en,email,synthetic_no_personal_data,service,train,our order is missing after the promised delivery date,service,0.746431,0,1
M44-027,C44-014,2026-01-15T02:00:00Z,en,portal,synthetic_no_personal_data,quality,train,the product smells unusual and needs quality review,quality,0.733023,0,1
M44-028,C44-014,2026-01-15T03:00:00Z,en,portal,synthetic_no_personal_data,quality,train,please investigate the leaking packages in this batch,quality,0.745216,0,1
M44-029,C44-015,2026-01-15T20:00:00Z,en,chat,synthetic_no_personal_data,finance,train,please send a copy of the outstanding credit note,finance,0.739210,0,1
M44-030,C44-015,2026-01-15T21:00:00Z,en,chat,synthetic_no_personal_data,finance,train,our payment was posted against the wrong invoice,finance,0.749849,0,1
M44-031,C44-016,2026-01-16T14:00:00Z,en,email,synthetic_no_personal_data,sales,train,we want to place an order for the seasonal range,sales,0.741774,0,1
